BR_AUTOBUSA,VRIJEME_STANICI_6,VRIJEME_STANICI_7,VRIJEME_STANICI_8,VRIJEME_STANICI_9,VRIJEME_STANICI_10,VRIJEME_STANICI_5,VRIJEME_STANICI_4,VRIJEME_STANICI_3,VRIJEME_STANICI_2,VRIJEME_STANICI_1
3,05:40:00,05:43:00,05:46:00,05:48:00,05:49:30,06:12:30,06:13:30,06:16:00,06:18:00,06:20:00
3,06:40:00,06:43:00,06:46:00,06:48:00,06:49:30,07:12:30,07:13:30,07:16:00,07:18:00,07:20:00
3,07:05:00,07:08:00,07:11:00,07:13:00,07:14:30,07:42:30,06:43:30,06:46:00,06:48:00,06:50:00
3,07:40:00,07:43:00,07:46:00,07:48:00,07:49:30,07:12:30,07:13:30,07:16:00,07:18:00,07:20:00
3,08:45:00,08:48:00,08:51:00,08:53:00,08:54:30,09:12:30,09:13:30,09:16:00,09:18:00,09:20:00
3,09:45:00,09:48:00,09:51:00,09:53:00,09:54:30,10:12:30,10:13:30,10:16:00,10:18:00,10:20:00
3,10:45:00,10:48:00,10:51:00,10:53:00,10:54:30,11:12:30,11:13:30,11:16:00,11:18:00,11:20:00
3,12:45:00,12:48:00,12:51:00,12:53:00,12:54:30,13:12:30,13:13:30,13:16:00,13:18:00,13:20:00
3,14:45:00,14:48:00,14:51:00,14:53:00,14:54:30,15:12:30,15:13:30,15:16:00,15:18:00,15:20:00
3,15:45:00,15:48:00,15:51:00,15:53:00,15:54:30,16:12:30,16:13:30,16:16:00,16:18:00,16:20:00
3,16:45:00,16:48:00,16:51:00,16:53:00,16:54:30,17:12:30,17:13:30,17:16:00,17:18:00,17:20:00
3,17:45:00,17:48:00,17:51:00,17:53:00,17:54:30,18:12:30,18:13:30,18:16:00,18:18:00,18:20:00
3,18:45:00,18:48:00,18:51:00,18:53:00,18:54:30,19:12:30,19:13:30,19:16:00,19:18:00,19:20:00
